tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM
9606	Homo sapiens	3605	0	live	IL17A	"CTLA-8, CTLA8, IL-17, IL-17A, IL17, ILA17"	interleukin 17A	interleukin-17A|cytotoxic T-lymphocyte-associated antigen 8|cytotoxic T-lymphocyte-associated protein 8|interleukin 17 (cytotoxic T-lymphocyte-associated serine esterase 8)|interleukin-17	6p12.2	6	NC_000006.12	52186375	52190638	plus	3	603149
9606	Homo sapiens	4313	0	live	MMP2	"CLG4, CLG4A, MMP-2, MMP-II, MONA, TBE-1"	matrix metallopeptidase 2	"72 kDa type IV collagenase|collagenase type IV-A|matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)|matrix metalloproteinase-2|matrix metalloproteinase-II|neutrophil gelatinase"	16q12.2	16	NC_000016.10	55478830	55506691	plus	17	120360
9606	Homo sapiens	23411	0	live	SIRT1	"SIR2, SIR2L1, SIR2alpha"	sirtuin 1	NAD-dependent protein deacetylase sirtuin-1|NAD-dependent protein deacylase sirtuin-1|SIR2-like protein 1|regulatory protein SIR2 homolog 1|sirtuin type 1	10q21.3	10	NC_000010.11	67884656	67918390	plus	11	604479
9606	Homo sapiens	3146	0	live	HMGB1	"HMG-1, HMG1, HMG3, SBP-1"	high mobility group box 1	high mobility group protein B1|Amphoterin|Sulfoglucuronyl carbohydrate binding protein|high-mobility group (nonhistone chromosomal) protein 1	13q12.3	13	NC_000013.11	30456704	30617597	minus	9	163905
9606	Homo sapiens	4851	0	live	NOTCH1	"AOS5, AOVD1, TAN1, hN1"	notch receptor 1	"neurogenic locus notch homolog protein 1|Notch homolog 1, translocation-associated|notch 1|translocation-associated notch protein TAN-1"	9q34.3	9	NC_000009.12	136494433	136546048	minus	34	190198
9606	Homo sapiens	6387	0	live	CXCL12	"IRH, PBSF, SCYB12, SDF1, TLSF, TPAR1"	C-X-C motif chemokine ligand 12	stromal cell-derived factor 1|chemokine (C-X-C motif) ligand 12|intercrine reduced in hepatomas|pre-B cell growth-stimulating factor	10q11.21	10	NC_000010.11	44370165	44385097	minus	6	600835
9606	Homo sapiens	3105	0	live	HLA-A	HLAA	"major histocompatibility complex, class I, A"	"HLA class I histocompatibility antigen, A alpha chain|HLA class I histocompatibility antigen, A-1 alpha chain|MHC class I antigen HLA-A heavy chain|leukocyte antigen class I-A"	6p22.1	6	NC_000006.12	29942532	29945870	plus	8	142800
10090	Mus musculus	18033	0	live	Nfkb1	"NF-KB1, NF-kappaB, NF-kappaB1, p105, p50, p50/p105"	"nuclear factor of kappa light polypeptide gene enhancer in B cells 1, p105"	"nuclear factor NF-kappa-B p105 subunit|DNA-binding factor KBF1|EBP-1|NF kappaB1|NF-kappa-B1 p84/NF-kappa-B1 p98|NF-kappaB p50|nuclear factor kappaB p50|nuclear factor of kappa light chain gene enhancer in B-cells 1, p105|p50 subunit of NF kappaB"	3 62.82 cM	3	NC_000069.7	135290416	135397422	minus	26	
10090	Mus musculus	22339	0	live	Vegfa	"L-VEGF, Vegf, Vpf"	vascular endothelial growth factor A	"vascular endothelial growth factor A, long form|vascular permeability factor"	17 22.79 cM	17	NC_000083.7	46327919	46343303	minus	8	
9606	Homo sapiens	2908	0	live	NR3C1	"GCCR, GCR, GCRST, GR, GRL"	nuclear receptor subfamily 3 group C member 1	"glucocorticoid receptor|nuclear receptor subfamily 3 group C member 1 variant hGR-B(54)|nuclear receptor subfamily 3 group C member 1 variant hGR-B(77)|nuclear receptor subfamily 3 group C member 1 variant hGR-B(93)|nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)"	5q31.3	5	NC_000005.10	143277931	143435512	minus	15	138040
9606	Homo sapiens	50943	0	live	FOXP3	"AIID, DIETER, IPEX, JM2, PIDX, XPID"	forkhead box P3	"forkhead box protein P3|FOXP3delta7|immune dysregulation, polyendocrinopathy, enteropathy, X-linked|immunodeficiency, polyendocrinopathy, enteropathy, X-linked"	Xp11.23	X	NC_000023.11	49250438	49264710	minus	12	300292
9606	Homo sapiens	6696	0	live	SPP1	"BNSP, BSPI, ETA-1, OPN"	secreted phosphoprotein 1	"osteopontin|SPP1/CALPHA1 fusion|early T-lymphocyte activation 1|lnc-PKD2-2-3|nephropontin|osteopontin/immunoglobulin alpha 1 heavy chain constant region fusion protein|secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1)|urinary stone protein|uropontin"	4q22.1	4	NC_000004.12	87975714	87983411	plus	8	166490
9606	Homo sapiens	10413	0	live	YAP1	"COB1, YAP, YAP-1, YAP2, YAP65, YKI"	Yes1 associated transcriptional regulator	transcriptional coactivator YAP1|65 kDa Yes-associated protein|Yes associated protein 1|protein yorkie homolog|yes-associated protein 2|yes-associated protein YAP65 homolog|yorkie homolog	11q22.1	11	NC_000011.10	102110447	102233424	plus	11	606608
9606	Homo sapiens	142	0	live	PARP1	"ADPRT, ADPRT 1, ADPRT1, ARTD1, PARP, PARP-1, PARS, PPOL, Poly-PARP, pADPRT-1"	poly(ADP-ribose) polymerase 1	"poly [ADP-ribose] polymerase 1|ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)|ADP-ribosyltransferase NAD(+)|ADP-ribosyltransferase diphtheria toxin-like 1|DNA ADP-ribosyltransferase PARP1|NAD(+) ADP-ribosyltransferase 1|poly (ADP-ribose) polymerase family, member 1|poly(ADP-ribose) synthetase|poly(ADP-ribosyl)transferase|poly[ADP-ribose] synthase 1|protein poly-ADP-ribosyltransferase PARP1"	1q42.12	1	NC_000001.11	226360691	226408093	minus	23	173870
9606	Homo sapiens	154	0	live	ADRB2	"ADRB2R, ADRBR, ARB2, B2AR, BAR, BETA2AR"	adrenoceptor beta 2	"beta-2 adrenergic receptor|adrenergic, beta-2-, receptor, surface|adrenoceptor beta 2 surface|beta-2 adrenoceptor|beta-2 adrenoreceptor|catecholamine receptor"	5q32	5	NC_000005.10	148826611	148828623	plus	1	109690
9606	Homo sapiens	7450	0	live	VWF	"F8VWF, VWD"	von Willebrand factor	von Willebrand factor|Factor VIII related antigen|coagulation factor VIII VWF	12p13.31	12	NC_000012.12	5948877	6124670	minus	53	613160
10090	Mus musculus	18128	0	live	Notch1	"9930111A19Rik, Mis6, N1, Tan1, lin-12"	notch 1	neurogenic locus notch homolog protein 1|Motch A|Notch gene homolog 1|mT14|major type A protein|p300	2 18.91 cM	2	NC_000068.8	26347914	26393834	minus	34	
9606	Homo sapiens	177	0	live	AGER	"RAGE, SCARJ1, sRAGE"	advanced glycosylation end-product specific receptor	advanced glycosylation end product-specific receptor|receptor for advanced glycation end-products	6p21.32	6	NC_000006.12	32180969	32184253	minus	10	600214
10090	Mus musculus	16000	0	live	Igf1	"C730016P09Rik, Igf-1, Igf-I"	insulin-like growth factor 1	insulin-like growth factor I|somatomedin	10 43.7 cM	10	NC_000076.7	87694127	87772909	plus	11	
10090	Mus musculus	14609	0	live	Gja1	"Cnx43, Cx43, Cx43alpha1, Cxnk1, Gja-1, Npm1, connexin43"	"gap junction protein, alpha 1"	gap junction alpha-1 protein|alpha 1 connexin|connexin k1|connexin-43|gap junction 43 kDa heart protein|gap junction membrane channel protein alpha 1	10 28.64 cM	10	NC_000076.7	56253297	56266519	plus	2	
10090	Mus musculus	19225	0	live	Ptgs2	"COX2, Cox-2, PES-2, PGHS-2, PHS II, PHS-2, Pghs2, TIS10, gripghs"	prostaglandin-endoperoxide synthase 2	prostaglandin G/H synthase 2|PGH synthase 2|cyclooxygenase-2|glucocorticoid-regulated inflammatory cyclooxygenase|macrophage activation-associated marker protein P71/73|prostaglandin H2 synthase 2	1 63.84 cM	1	NC_000067.7	149975851	149983978	plus	10	
9606	Homo sapiens	4000	0	live	LMNA	"CDCD1, CDDC, CMD1A, CMT2B1, EMD2, FPL, FPLD, FPLD2, HGPS, IDC, LDP1, LFP, LGMD1B, LMN1, LMNC, LMNL1, MADA, PRO1"	lamin A/C	lamin|70 kDa lamin|epididymis secretory sperm binding protein|lamin A/C-like 1|lamin C|mandibuloacral dysplasia type A|prelamin-A/C|progerin|renal carcinoma antigen NY-REN-32	1q22	1	NC_000001.11	156082573	156140081	plus	20	150330
10090	Mus musculus	17395	0	live	Mmp9	"B/MMP9, Clg4b, Gel B, MMP-9, pro-MMP-9"	matrix metallopeptidase 9	matrix metalloproteinase-9|92 kDa gelatinase|92 kDa type IV collagenase|92kD gelatinase|92kD type IV collagenase|collagenase type IVB|gelatinase B	2 85.27 cM	2	NC_000068.8	164782246	164797770	plus	14	
10090	Mus musculus	12578	0	live	Cdkn2a	"ARF-INK4a, Arf, INK4a-ARF, Ink4a/Arf, MTS1, Pctr1, p16, p16(INK4a), p16INK4a, p19<ARF>, p19ARF"	cyclin dependent kinase inhibitor 2A	"cyclin-dependent kinase inhibitor 2A|CDK4I|alternative reading frame|cyclin-dependent kinase 4 inhibitor A|cyclin-dependent kinase inhibitor 2A (p16, inhibits CDK4)|cyclin-dependent kinase inhibitor protein|mitochondrial smARF|p16-INK4|p16-INK4a"	4 42.15 cM	4	NC_000070.7	89192710	89212856	minus	4	
9606	Homo sapiens	4282	0	live	MIF	"GIF, GLIF, MMIF"	macrophage migration inhibitory factor	macrophage migration inhibitory factor|L-dopachrome isomerase|L-dopachrome tautomerase|epididymis secretory sperm binding protein|macrophage migration inhibitory factor (glycosylation-inhibiting factor)|phenylpyruvate tautomerase	22q11.23	22	NC_000022.11	23894383	23895223	plus	3	153620
10090	Mus musculus	26413	0	live	Mapk1	"9030612K14Rik, ERK, Erk2, MAPK2, PRKM2, Prkm1, p41mapk, p42mapk"	mitogen-activated protein kinase 1	mitogen-activated protein kinase 1|ERK-2|ERT1|MAP kinase 1|MAP kinase 2|MAPK 1|MAPK 2|extracellular signal-regulated kinase 2|mitogen-activated protein kinase 2|p42-MAPK	16 10.53 cM	16	NC_000082.7	16801246	16865317	plus	9	
9606	Homo sapiens	2033	0	live	EP300	"KAT3B, MKHK2, RSTS2, p300"	E1A binding protein p300	"histone acetyltransferase p300|E1A-associated protein p300|E1A-binding protein, 300kD|histone butyryltransferase p300|histone crotonyltransferase p300|p300 HAT|protein 2-hydroxyisobutyryltransferase p300|protein lactyltransferas p300|protein propionyltransferase p300"	22q13.2	22	NC_000022.11	41092592	41180077	plus	31	602700
10090	Mus musculus	12772	0	live	Ccr2	"Cc-ckr-2a, Ccr2b, Ckr2, Ckr2a, Ckr2b, Cmkbr2, mJe-r, Ccr2"	C-C motif chemokine receptor 2	C-C chemokine receptor type 2|C-C CHEMOKINE RECEPTOR TYPE 2 (C-C CKR-2) (CC-CKR-2) (CCR-2) (CCR2) (JE/FIC RECEPTOR) (MCP-1 RECEPTOR)|C-C CKR-2|CCR-2|JE/FIC receptor|MCP-1 receptor|MIP-1 alphaR|chemoattractant protein-1 receptor|chemokine (C-C motif) receptor 2|chemokine (C-C) receptor 2	9 75.05 cM	9	NC_000075.7	123901954	123913594	plus	6	
10090	Mus musculus	12801	0	live	Cnr1	"CB-R, CB1, CB1A, CB1B, CB1R"	cannabinoid receptor 1	cannabinoid receptor 1|brain-type cannabinoid receptor|cannabinoid receptor 1 (brain)|striatal cannabinoid receptor type 1 protein	4 16.28 cM	4	NC_000070.7	33923171	33948831	plus	11	
9606	Homo sapiens	3320	0	live	HSP90AA1	"EL52, HEL-S-65p, HSP86, HSP89A, HSP90A, HSP90N, HSPC1, HSPCA, HSPCAL1, HSPCAL4, HSPN, Hsp103, Hsp89, Hsp90, LAP-2, LAP2"	heat shock protein 90 alpha family class A member 1	"heat shock protein HSP 90-alpha|HSP 86|LPS-associated protein 2|epididymis luminal secretory protein 52|epididymis secretory sperm binding protein Li 65p|heat shock 86 kDa|heat shock 90kD protein 1, alpha|heat shock 90kD protein 1, alpha-like 4|heat shock 90kD protein, alpha-like 4|heat shock 90kDa protein 1, alpha|heat shock protein 90kDa alpha (cytosolic), class A member 1|heat shock protein 90kDa alpha family class A member 1|lipopolysaccharide-associated protein 2|renal carcinoma antigen NY-REN-38"	14q32.31	14	NC_000014.9	102080742	102139749	minus	13	140571
9606	Homo sapiens	2335	0	live	FN1	"CIG, ED-B, FINC, FN, FNZ, GFND, GFND2, LETS, MSF, SMDCF"	fibronectin 1	fibronectin|cold-insoluble globulin|epididymis secretory sperm binding protein|lnc-ABCA12-8|migration-stimulating factor	2q35	2	NC_000002.12	215360865	215436068	minus	47	135600
9606	Homo sapiens	2247	0	live	FGF2	"BFGF, FGF-2, FGFB, HBGF-2"	fibroblast growth factor 2	fibroblast growth factor 2|basic fibroblast growth factor bFGF|fibroblast growth factor 2 (basic)|heparin-binding growth factor 2|prostatropin	4q28.1	4	NC_000004.12	122826682	122898236	plus	3	134920
10090	Mus musculus	20750	0	live	Spp1	"2AR, Apl-1, BNSP, BSPI, Bsp, ETA-1, Eta, OP, Opn, Opnl, Ric, Spp-1"	secreted phosphoprotein 1	osteopontin|44 kDa bone phosphoprotein|bone sialoprotein 1|calcium oxalate crystal growth inhibitor protein|early T-lymphocyte activation 1 protein|minopontin|osteopontin-like protein	5 50.68 cM	5	NC_000071.7	104582977	104588919	plus	8	
9606	Homo sapiens	2697	0	live	GJA1	"AVSD3, CMDR, CX43, EKVP, EKVP3, GJAL, HLHS1, HSS, ODDD, PPKCA"	gap junction protein alpha 1	"gap junction alpha-1 protein|connexin-43|gap junction 43 kDa heart protein|gap junction protein, alpha 1, 43kDa"	6q22.31	6	NC_000006.12	121435646	121449727	plus	2	121014
10090	Mus musculus	11475	0	live	Acta2	"0610041G09Rik, Actvs, SMAalpha, SMalphaA, a-SMA, alphaSMA"	"actin alpha 2, smooth muscle, aorta"	"actin, aortic smooth muscle|actin, alpha, vascular smooth muscle|alpha-actin-2"	19 29.41 cM	19	NC_000085.7	34217736	34232985	minus	10	
10090	Mus musculus	19017	0	live	Ppargc1a	"A830037N07Rik, Gm11133, PGC-1, PPARGC-1-alpha, Pgc-1alpha, Pgc1, Pgco1, Ppargc1"	"peroxisome proliferative activated receptor, gamma, coactivator 1 alpha"	peroxisome proliferator-activated receptor gamma coactivator 1-alpha|PPAR-gamma coactivator 1-alpha	5 27.02 cM	5	NC_000071.7	51611591	52273316	minus	20	
10090	Mus musculus	26417	0	live	Mapk3	"Erk-1, Erk1, Ert2, Esrk1, Mnk1, Mtap2k, Prkm3, p44, p44erk1, p44mapk"	mitogen-activated protein kinase 3	mitogen-activated protein kinase 3|MAP kinase 3|extracellular signal-regulated kinase 1|insulin-stimulated MAP2 kinase|microtubule-associated protein 2 kinase|p44 MAP kinase|pp42/MAP kinase	7 69.25 cM	7	NC_000073.7	126358798	126364988	plus	9	
10090	Mus musculus	13058	0	live	Cybb	"CGD91-phox, Cgd, Cyd, Nox2, gp91-1, gp91phox"	"cytochrome b-245, beta polypeptide"	cytochrome b-245 heavy chain|NADPH oxidase 2|cytochrome b558 subunit beta|heme-binding membrane glycoprotein gp91phox|neutrophil cytochrome b 91 kDa polypeptide|p22 phagocyte B-cytochrome	X 4.3 cM	X	NC_000086.8	9301493	9354005	minus	14	
9606	Homo sapiens	8842	0	live	PROM1	"AC133, CD133, CORD12, MCDR2, MSTP061, PROML1, RP41, STGD4"	prominin 1	"prominin-1|AC133 antigen|Retinitis pigmentosa 41, Cone-rod dystrophy 12|antigen AC133|hProminin|hematopoietic stem cell antigen|prominin-like protein 1"	4p15.32	4	NC_000004.12	15968228	16084023	minus	34	604365
9606	Homo sapiens	2260	0	live	FGFR1	"BFGFR, CD331, CEK, ECCL, FGFBR, FGFR-1, FLG, FLT-2, FLT2, HBGFR, HH2, HRTFDS, KAL2, N-SAM, OGD, bFGF-R-1"	fibroblast growth factor receptor 1	fibroblast growth factor receptor 1|FGFR1/PLAG1 fusion|FMS-like tyrosine kinase 2|basic fibroblast growth factor receptor 1|fms-related tyrosine kinase 2|heparin-binding growth factor receptor|hydroxyaryl-protein kinase|proto-oncogene c-Fgr	8p11.23	8	NC_000008.11	38411143	38468635	minus	21	136350
10090	Mus musculus	15289	0	live	Hmgb1	"HMG-1, Hmg1, SBP-1, p30"	high mobility group box 1	high mobility group protein B1|amphoterin|high mobility group protein 1	5 89.18 cM	5	NC_000071.7	148983512	148989867	minus	6	
10090	Mus musculus	16412	0	live	Itgb1	"4633401G24Rik, CD29, Fnrb, Gm9863, gpIIa"	integrin beta 1 (fibronectin receptor beta)	integrin beta-1|VLA-4 subunit beta|fibronectin receptor subunit beta	8 76.09 cM	8	NC_000074.7	129412135	129460060	plus	16	
9606	Homo sapiens	7076	0	live	TIMP1	"CLGI, EPA, EPO, HCI, TIMP, TIMP-1"	TIMP metallopeptidase inhibitor 1	metalloproteinase inhibitor 1|collagenase inhibitor|epididymis secretory sperm binding protein|erythroid potentiating activity|fibroblast collagenase inhibitor|tissue inhibitor of metalloproteinases 1	Xp11.3	X	NC_000023.11	47582436	47586789	plus	6	305370
9606	Homo sapiens	1756	0	live	DMD	"BMD, CMD3B, DXS142, DXS164, DXS206, DXS230, DXS239, DXS268, DXS269, DXS270, DXS272, MRX85"	dystrophin	dystrophin|mutant dystrophin	Xp21.2-p21.1	X	NC_000023.11	31119222	33339388	minus	89	300377
10090	Mus musculus	11450	0	live	Adipoq	"30kDa, APN, Acdc, Acrp30, Ad, Adid, GBP28, adipo, apM1"	"adiponectin, C1Q and collagen domain containing"	"adiponectin|30 kDa adipocyte complement-related protein|adipocyte complement related protein|adipocyte complement-related 30 kDa protein|adipocyte, C1Q and collagen domain containing|adipocyte, C1q and collagen domain-containing protein|adipocyte-specific protein AdipoQ|adiponectin d"	16 13.96 cM	16	NC_000082.7	22965286	22976718	plus	3	
9606	Homo sapiens	3315	0	live	HSPB1	"CMT2F, HEL-S-102, HMN2B, HMND3, HS.76067, HSP27, HSP28, Hsp25, SRP27"	heat shock protein family B (small) member 1	heat shock protein beta-1|28 kDa heat shock protein|epididymis secretory protein Li 102|estrogen-regulated 24 kDa protein|heat shock 27 kDa protein|heat shock 27kD protein 1|heat shock 27kDa protein 1|stress-responsive protein 27	7q11.23	7	NC_000007.14	76302673	76304292	plus	3	602195
9606	Homo sapiens	1387	0	live	CREBBP	"CBP, KAT3A, MKHK1, RSTS, RSTS1"	CREB binding protein	CREB-binding protein|histone lysine acetyltransferase CREBBP|protein-lysine acetyltransferase CREBBP	16p13.3	16	NC_000016.10	3725054	3880713	minus	33	600140
10090	Mus musculus	21943	0	live	Tnfsf11	"Ly109l, ODF, OPGL, RANKL, Trance"	"tumor necrosis factor (ligand) superfamily, member 11"	tumor necrosis factor ligand superfamily member 11|OPG ligand|TNF-related activation-induced cytokine|osteoclast differentiation factor|osteoprotegerin ligand|receptor activator of NF-kappaB ligand|receptor activator of nuclear factor kappa-B ligand|tumor necrosis factor-related activation-induced cytokine	14 41.26 cM	14	NC_000080.7	78514886	78545483	minus	5	
9606	Homo sapiens	1490	0	live	CCN2	"CTGF, HCS24, IBP-8, IGFBP8, NOV2"	cellular communication network factor 2	CCN family member 2|IGF-binding protein 8|connective tissue growth factor|hypertrophic chondrocyte-specific protein 24|insulin-like growth factor-binding protein 8	6q23.2	6	NC_000006.12	131948176	131951372	minus	5	121009
10090	Mus musculus	18053	0	live	Ngfr	"LNGFR, Tnfrsf16, p75, p75NGFR, p75NTR"	"nerve growth factor receptor (TNFR superfamily, member 16)"	tumor necrosis factor receptor superfamily member 16|NGF receptor|low affinity neurotrophin receptor p75NTR|low-affinity nerve growth factor receptor|low-affinity nerve growth factor receptor p75NGFR|low-affinity nerve growth factor receptor p75NGR|p75 neurotrophin receptor	11 59.01 cM	11	NC_000077.7	95459644	95478524	minus	6	
9606	Homo sapiens	1268	0	live	CNR1	"CANN6, CB-R, CB1, CB1A, CB1K5, CB1R, CNR"	cannabinoid receptor 1	cannabinoid receptor 1|cannabinoid receptor 1 (brain)|central cannabinoid receptor	6q15	6	NC_000006.12	88139864	88167349	minus	8	114610
9606	Homo sapiens	958	0	live	CD40	"Bp50, CDW40, TNFRSF5, p50"	CD40 molecule	"tumor necrosis factor receptor superfamily member 5|B cell surface antigen CD40|B cell-associated molecule|CD40 molecule, TNF receptor superfamily member 5|CD40L receptor"	20q13.12	20	NC_000020.11	46118314	46129858	plus	9	109535
9606	Homo sapiens	7057	0	live	THBS1	"THBS, THBS-1, TSP, TSP-1, TSP1"	thrombospondin 1	thrombospondin-1|glycoprotein G|thrombospondin-1p180|thrombospondin-p50	15q14	15	NC_000015.10	39581079	39599466	plus	22	188060
9606	Homo sapiens	7052	0	live	TGM2	"G(h), TG(C), TGC, hTG2, tTG"	transglutaminase 2	"protein-glutamine gamma-glutamyltransferase 2|C polypeptide, protein-glutamine-gamma-glutamyltransferase|TGase C|TGase H|TGase II|TGase-2|erythrocyte transglutaminase|heart G alpha(h)|hhG alpha(h)|isopeptidase TGM2|protein G alpha(h)|protein-glutamine deamidase TGM2|protein-glutamine dopaminyltransferase TGM2|protein-glutamine histaminyltransferase TGM2|protein-glutamine noradrenalinyltransferase TGM2|protein-glutamine serotonyltransferase TGM2|tTgase|tissue transglutaminase|transglutaminase C|transglutaminase H|transglutaminase II"	20q11.23	20	NC_000020.11	38127385	38168475	minus	15	190196
